,newid,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr
9519,13458,LA,1,F,N,N,Y,N,N,N,Y,N
9520,13459,LA,2,M,N,N,N,N,N,Y,N,N
9521,13460,LA,2,F,N,N,Y,N,N,N,Y,N
9522,13461,EN,1,M,N,N,N,N,N,Y,N,N
9523,13462,LA,1,F,N,N,N,N,N,Y,N,N
9524,13463,LA,1,M,N,N,N,N,N,Y,N,N
9525,13464,LA,2,M,N,N,N,N,N,Y,N,N
9526,13465,BU,2,M,N,N,N,N,N,Y,N,N
9527,13466,LA,1,F,N,N,N,N,N,Y,N,N
9528,13467,FA,1,M,Y,N,N,N,N,N,N,N
9529,13468,LA,2,M,N,N,Y,N,N,N,N,N
9530,13469,BU,1,F,N,N,N,N,N,Y,N,N
9531,13470,LA,0,M,N,N,N,N,N,Y,N,N
9532,13471,BU,2,M,N,N,Y,N,N,N,Y,N
9533,13472,FA,1,F,N,N,Y,N,N,N,N,N
9534,13473,LA,1,F,N,N,N,N,N,Y,N,N
9535,13474,LA,1,F,N,N,N,N,N,Y,N,N
9536,13475,BU,1,F,N,N,N,N,N,Y,N,N
9537,13476,EN,2,F,N,N,Y,N,N,N,N,N
9538,13477,FA,1,F,N,N,N,N,N,Y,N,N
9539,13478,LA,2,F,N,N,Y,N,N,N,N,N
9540,13479,LA,1,F,N,N,N,N,N,Y,N,N
9541,13480,BU,1,F,N,N,N,N,N,N,N,Y
9542,13481,LA,2,M,N,N,Y,N,N,N,N,N
9543,13482,LA,1,M,N,N,N,N,N,Y,N,N
9544,13483,LA,2,F,N,N,N,Y,N,Y,N,N
9545,13484,BU,2,M,N,N,N,N,N,Y,N,N
9546,13485,LA,2,M,N,N,Y,N,N,N,N,N
9547,13486,LA,1,M,Y,N,N,N,N,N,N,N
9548,13487,AR,2,M,N,N,Y,N,N,N,Y,N
9549,13488,LA,1,F,N,N,N,N,N,Y,N,N
9550,13489,LA,2,F,N,N,Y,N,N,N,N,N
9551,13490,AR,1,M,N,N,N,N,N,Y,N,N
9552,13491,LA,1,F,N,N,N,N,N,Y,N,N
9553,13492,LA,2,M,N,N,Y,N,N,N,N,N
9554,13493,LA,2,F,N,N,N,N,N,N,N,Y
9555,13494,EN,2,M,N,N,N,N,N,Y,N,N
9556,13495,LA,2,F,N,N,N,N,N,Y,N,N
9557,13496,LA,2,F,N,N,Y,N,N,N,N,N
9558,13497,EN,1,F,N,N,N,N,N,Y,N,N
9559,13498,LA,2,F,N,N,Y,N,N,N,N,N
9560,13499,BU,2,F,N,N,N,N,N,Y,N,N
9561,13500,LA,2,M,N,N,Y,N,N,N,N,N
9562,13501,LA,0,F,Y,N,N,N,N,N,N,N
