date,num,product_list,id,dateandtime,previous_list,match,previous_dateandtime,timediff,timediffstamp,log_timediff,newid,asian,female,stdtlevel,previous_id,previous_newid,previous_asian,previous_female,freshmen,previous_freshmen,staff,previous_staff,month,week,week_order,newid_former,pair_occurance
8/26/13,7966,['burrito'],10555,8/26/13 11:42,['burrito'],1,8/26/13 11:42,0 days 00:00:13.000000000,13,2.564949357,9213,0,1,1,10117,8801,0,0,1,1,0,0,8,35,1,8801.0,1
8/26/13,8153,['taco salad'],3453,8/26/13 12:13,['taco salad'],1,8/26/13 12:13,0 days 00:00:14.000000000,14,2.63905733,2851,0,1,6,2806,2312,0,0,0,0,0,0,8,35,1,9213.0,1
8/26/13,8211,['quesadilla vegetable'],6234,8/26/13 12:23,['taco salad'],0,8/26/13 12:22,0 days 00:00:39.000000000,39,3.663561646,5320,0,0,3,8311,7132,0,0,0,1,0,0,8,35,1,2851.0,1
8/26/13,8264,['taco'],7934,8/26/13 12:30,['burrito'],0,8/26/13 12:29,0 days 00:00:44.000000000,44,3.784189634,6762,1,1,1,6003,5103,0,0,1,0,0,0,8,35,1,5320.0,1
8/26/13,8284,['burrito'],8949,8/26/13 12:31,['quesadilla vegetable'],0,8/26/13 12:31,0 days 00:00:17.000000000,17,2.833213344,7759,1,0,3,9393,8193,1,0,0,0,0,0,8,35,1,6762.0,1
8/26/13,8304,['quesadilla vegetable'],9128,8/26/13 12:33,['taco salad'],0,8/26/13 12:33,0 days 00:00:57.000000000,57,4.043051268,7935,0,1,2,9188,7994,0,1,1,1,0,0,8,35,1,7759.0,1
8/26/13,8330,['taco salad'],7891,8/26/13 12:36,['burrito'],0,8/26/13 12:35,0 days 00:00:40.000000000,40,3.688879454,6719,0,0,2,10217,8887,0,0,1,0,0,0,8,35,1,7935.0,1
8/26/13,8344,['quesadilla vegetable'],3353,8/26/13 12:37,['burrito'],0,8/26/13 12:37,0 days 00:00:08.000000000,8,2.079441542,2760,1,1,6,10547,9206,1,0,0,1,0,0,8,35,1,6719.0,1
8/26/13,8348,['taco salad'],3510,8/26/13 12:37,['quesadilla vegetable'],0,8/26/13 12:37,0 days 00:00:13.000000000,13,2.564949357,2903,0,1,5,3353,2760,1,1,0,0,0,0,8,35,1,2760.0,1
8/26/13,8363,['quesadilla vegetable'],7920,8/26/13 12:38,['burrito'],0,8/26/13 12:38,0 days 00:00:43.000000000,43,3.761200116,6748,0,1,1,8582,7398,1,0,1,1,0,0,8,35,1,2903.0,1
8/26/13,8376,['taco salad'],1649,8/26/13 12:39,['quesadilla vegetable'],0,8/26/13 12:38,0 days 00:00:51.000000000,51,3.931825633,1237,0,0,8,7920,6748,0,1,0,1,0,0,8,35,1,6748.0,1
8/26/13,8393,['taco salad'],9235,8/26/13 12:41,['taco salad'],1,8/26/13 12:40,0 days 00:00:16.000000000,16,2.772588722,8039,1,0,1,6033,5129,1,0,1,0,0,0,8,35,1,1237.0,1
8/26/13,8397,['burrito'],8920,8/26/13 12:41,['taco salad'],0,8/26/13 12:41,0 days 00:00:37.000000000,37,3.610917913,7730,0,0,2,9235,8039,1,0,1,1,0,0,8,35,1,8039.0,1
8/26/13,8408,['quesadilla vegetable'],8472,8/26/13 12:42,['burrito'],0,8/26/13 12:41,0 days 00:00:54.000000000,54,3.988984047,7291,0,0,2,8920,7730,0,0,1,1,0,0,8,35,1,7730.0,1
8/26/13,8415,['quesadilla vegetable'],9438,8/26/13 12:43,['quesadilla vegetable'],1,8/26/13 12:42,0 days 00:00:24.000000000,24,3.17805383,8238,0,0,1,8472,7291,0,0,1,1,0,0,8,35,1,7291.0,2
8/26/13,8432,['quesadilla vegetable'],9158,8/26/13 12:44,['quesadilla vegetable'],1,8/26/13 12:44,0 days 00:00:13.000000000,13,2.564949357,7964,0,0,2,9092,7900,1,1,1,1,0,0,8,35,1,8238.0,1
8/26/13,8441,['taco salad'],9178,8/26/13 12:44,['quesadilla vegetable'],0,8/26/13 12:44,0 days 00:00:28.000000000,28,3.33220451,7984,1,0,2,9158,7964,0,0,1,1,0,0,8,35,1,7964.0,1
8/26/13,8446,['taco salad'],9042,8/26/13 12:45,['taco salad'],1,8/26/13 12:44,0 days 00:00:20.000000000,20,2.995732274,7852,0,0,1,9178,7984,1,0,1,1,0,0,8,35,1,7984.0,1
8/26/13,8469,['burrito'],8779,8/26/13 12:47,['quesadilla vegetable'],0,8/26/13 12:46,0 days 00:00:32.000000000,32,3.465735903,7591,0,0,2,8382,7203,0,0,1,1,0,0,8,35,1,7852.0,1
8/26/13,8475,['burrito'],9005,8/26/13 12:47,['burrito'],1,8/26/13 12:47,0 days 00:00:18.000000000,18,2.890371758,7815,0,0,2,8779,7591,0,0,1,1,0,0,8,35,1,7591.0,1
8/26/13,8481,['taco salad'],6602,8/26/13 12:47,['burrito'],0,8/26/13 12:47,0 days 00:00:31.000000000,31,3.433987204,5675,1,0,5,9005,7815,0,0,0,1,0,0,8,35,1,7815.0,1
8/26/13,8484,['quesadilla vegetable'],7914,8/26/13 12:48,['taco salad'],0,8/26/13 12:47,0 days 00:00:07.000000000,7,1.945910149,6742,0,1,2,6602,5675,1,0,1,0,0,0,8,35,1,5675.0,1
8/26/13,8490,['quesadilla vegetable'],9240,8/26/13 12:48,['quesadilla vegetable'],1,8/26/13 12:48,0 days 00:00:25.000000000,25,3.218875825,8044,0,0,2,7914,6742,0,1,1,1,0,0,8,35,1,6742.0,1
8/26/13,8502,['taco salad'],9074,8/26/13 12:49,['quesadilla vegetable'],0,8/26/13 12:48,0 days 00:00:53.000000000,53,3.970291914,7883,1,0,1,9240,8044,0,0,1,1,0,0,8,35,1,8044.0,1
8/26/13,8518,['taco salad'],9350,8/26/13 12:50,['taco salad'],1,8/26/13 12:49,0 days 00:00:59.000000000,59,4.077537444,8152,0,0,2,9074,7883,1,0,1,1,0,0,8,35,1,7883.0,1
8/26/13,8548,['quesadilla vegetable'],9466,8/26/13 12:52,['taco salad'],0,8/26/13 12:51,0 days 00:00:17.000000000,17,2.833213344,8265,0,1,2,8283,7104,0,1,1,1,0,0,8,35,1,8152.0,1
8/26/13,8589,['taco salad'],8206,8/26/13 12:54,['burrito'],0,8/26/13 12:53,0 days 00:00:48.000000000,48,3.871201011,7030,0,1,1,8761,7574,0,0,1,1,0,0,8,35,1,8265.0,1
8/26/13,8617,['taco salad'],8287,8/26/13 12:55,['quesadilla vegetable'],0,8/26/13 12:55,0 days 00:00:06.000000000,6,1.791759469,7108,0,1,2,8129,6955,0,0,1,1,0,0,8,35,1,7030.0,1
8/26/13,8619,['taco'],8692,8/26/13 12:56,['taco salad'],0,8/26/13 12:55,0 days 00:00:19.000000000,19,2.944438979,7507,1,1,1,8287,7108,0,1,1,1,0,0,8,35,1,7108.0,1
8/26/13,8706,['taco salad'],6022,8/26/13 13:00,['quesadilla vegetable'],0,8/26/13 13:00,0 days 00:00:19.000000000,19,2.944438979,5119,0,0,5,9315,8119,1,1,0,1,0,0,8,35,1,7507.0,1
8/26/13,8708,['taco salad'],3734,8/26/13 13:00,['taco salad'],1,8/26/13 13:00,0 days 00:00:29.000000000,29,3.36729583,3104,0,0,6,6022,5119,0,0,0,0,0,0,8,35,1,5119.0,1
8/26/13,8719,['burrito'],9150,8/26/13 13:01,['quesadilla vegetable'],0,8/26/13 13:01,0 days 00:00:09.000000000,9,2.197224577,7956,1,0,2,7982,6809,0,0,1,1,0,0,8,35,1,3104.0,1
8/26/13,8738,['quesadilla vegetable'],8807,8/26/13 13:03,['burrito'],0,8/26/13 13:02,0 days 00:00:09.000000000,9,2.197224577,7619,0,0,2,9101,7909,1,0,1,1,0,0,8,35,1,7956.0,1
8/26/13,8741,['burrito'],8172,8/26/13 13:03,['quesadilla vegetable'],0,8/26/13 13:03,0 days 00:00:26.000000000,26,3.258096538,6997,0,1,1,8807,7619,0,0,1,1,0,0,8,35,1,7619.0,1
8/26/13,8748,['taco salad'],8247,8/26/13 13:03,['burrito'],0,8/26/13 13:03,0 days 00:00:12.000000000,12,2.48490665,7070,1,0,2,8172,6997,0,1,1,1,0,0,8,35,1,6997.0,1
8/26/13,8800,['quesadilla vegetable'],6469,8/26/13 13:08,['burrito'],0,8/26/13 13:08,0 days 00:00:11.000000000,11,2.397895273,5546,0,0,4,2994,2477,0,0,0,0,0,0,8,35,1,7070.0,1
8/26/13,8828,['taco salad'],10244,8/26/13 13:10,['taco salad'],1,8/26/13 13:10,0 days 00:00:13.000000000,13,2.564949357,8914,0,1,2,8327,7148,0,1,1,1,0,0,8,35,1,5546.0,1
8/26/13,8836,['quesadilla vegetable'],8862,8/26/13 13:11,['taco salad'],0,8/26/13 13:10,0 days 00:00:44.000000000,44,3.784189634,7672,1,1,2,10244,8914,0,1,1,1,0,0,8,35,1,8914.0,1
8/26/13,8864,['burrito'],9265,8/26/13 13:14,['taco salad'],0,8/26/13 13:14,0 days 00:00:21.000000000,21,3.044522438,8069,0,0,2,4185,3516,0,0,1,0,0,0,8,35,1,7672.0,1
8/26/13,8868,['quesadilla vegetable'],9361,8/26/13 13:15,['burrito'],0,8/26/13 13:14,0 days 00:00:19.000000000,19,2.944438979,8163,0,0,2,9265,8069,0,0,1,1,0,0,8,35,1,8069.0,1
8/26/13,8884,['taco salad'],3886,8/26/13 13:18,['taco'],0,8/26/13 13:18,0 days 00:00:06.000000000,6,1.791759469,3242,0,1,6,10172,8847,0,0,0,0,0,0,8,35,1,8163.0,1
8/26/13,8886,['taco salad'],4699,8/26/13 13:18,['taco salad'],1,8/26/13 13:18,0 days 00:00:18.000000000,18,2.890371758,3967,1,1,5,3886,3242,0,1,0,0,0,0,8,35,1,3242.0,1
