id,terminal,num,datetime,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr,date,product,quantity,price
NA,NA,3654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Regular Salad,1,4.1
NA,NA,3655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Side Chicken,1,1.6
NA,NA,3657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Large Salad,1,5.35
NA,NA,3659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Reg,1,1.5
NA,NA,3675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,2,5.98
NA,NA,3675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Wrap DUC,1,5.5
NA,NA,3675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Wrap DUC,-1,-5.5
NA,NA,3677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Yogurt Parfait,1,2.9
NA,NA,3718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soup Cup,1,1.95
NA,NA,3724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Milk Chug,1,1.7
NA,NA,3725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Daily Special,1,4
NA,NA,3732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soup Bowl,1,2.45
NA,NA,3739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Yogurt Yoplait,1,1.8
NA,NA,3740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD LG,1,7.05
NA,NA,3741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,2,5.98
NA,NA,3744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Daily Special,1,6.05
NA,NA,3747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Daily Special,1,6.05
NA,NA,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Whole fruit,1,0.85
NA,NA,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD LG,1,7.05
NA,NA,3754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,2,5.98
NA,NA,3759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soup Bowl,1,2.45
NA,NA,3767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD LG,1,7.05
NA,NA,3768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Large Salad,1,5.35
NA,NA,3768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Side Chicken,1,1.6
NA,NA,3772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Wrap DUC,1,5.5
NA,NA,3774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Regular Salad,1,4.1
NA,NA,3779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Reg,1,1.5
